timestamp_ms,event,details
1313,batch_end,ThreadId(21) total_ms=626 test_sum_ms=179 overhead_ms=447 pred_ms=2 tests=1
1315,test,ThreadId(10) passed tests/diagnostics/mismatching-types.slang duration_ms=22
1315,test,ThreadId(10) passed tests/diagnostics/end-of-input.slang duration_ms=0
1319,test,ThreadId(11) passed tests/diagnostics/local-used-before-declared.slang duration_ms=218
1324,test,ThreadId(32) passed tests/diagnostics/raypayload-missing-access-qualifiers.slang duration_ms=214
1330,test,ThreadId(11) passed tests/diagnostics/bool-to-float.slang duration_ms=2
1344,batch_end,ThreadId(32) total_ms=657 test_sum_ms=214 overhead_ms=443 pred_ms=1 tests=1
1360,test,ThreadId(7) passed tests/diagnostics/invalid-vector-element-count.slang duration_ms=93
1380,test,ThreadId(11) passed tests/diagnostics/resource-type-in-dynamic-dispatch.slang duration_ms=54
1392,test,ThreadId(9) passed tests/diagnostics/missing-return.slang duration_ms=98
1450,test,ThreadId(11) passed tests/diagnostics/autodiff-custom-diff-inout.slang duration_ms=72
1456,test,ThreadId(10) passed tests/diagnostics/single-shader-record.slang duration_ms=139
1476,test,ThreadId(10) passed tests/diagnostics/pragma-warning-multifile-main.slang duration_ms=24
1476,test,ThreadId(10) passed tests/diagnostics/interfaces/interface-extension.slang duration_ms=0
1491,test,ThreadId(7) passed tests/diagnostics/sccp-div-by-zero.slang duration_ms=131
1500,test,ThreadId(8) passed tests/diagnostics/for-loop-warning.slang duration_ms=242
1500,test,ThreadId(8) passed tests/diagnostics/while-predicate-type.slang duration_ms=1
1506,test,ThreadId(12) passed tests/diagnostics/rich-diag-test.slang duration_ms=396
1521,test,ThreadId(8) passed tests/diagnostics/sv-semantic-struct-invalid.slang duration_ms=17
1521,test,ThreadId(8) passed tests/diagnostics/command-line/entry-point-conflicting-stage.slang.1 duration_ms=1
1521,test,ThreadId(8) passed tests/diagnostics/command-line/option-missing-argument.slang.1 duration_ms=0
1537,test,ThreadId(12) passed tests/diagnostics/internal-visibility/this-module.slang duration_ms=23
1537,test,ThreadId(12) passed tests/diagnostics/generic-constraint-equality-right-hand-side.slang duration_ms=3
1541,test,ThreadId(11) passed tests/diagnostics/array-parameterblock-struct.slang duration_ms=88
1541,test,ThreadId(7) passed tests/diagnostics/invalid-constant-pointer-taking.slang duration_ms=51
1541,test,ThreadId(7) passed tests/diagnostics/command-line/unknown-option.slang duration_ms=0
1551,test,ThreadId(7) passed tests/diagnostics/nested-func.slang duration_ms=8
1564,test,ThreadId(9) passed tests/diagnostics/autodiff-data-flow-2.slang duration_ms=173
1601,test,ThreadId(11) passed tests/diagnostics/comma-operator-warning-slang2026.slang duration_ms=60
1607,test,ThreadId(12) passed tests/diagnostics/generic-invalid-type-specialization.slang duration_ms=70
1617,test,ThreadId(10) passed tests/diagnostics/comma-operator-warning.slang duration_ms=135
